------------ Data Table File Created By ActiGraph wGT3XBT ActiLife v6.10.1 Firmware v1.2.0 date format M/d/yyyy Filter Normal -----------
Serial Number: MOS2A03140238
Start Time 11:15:00
Start Date 6/30/2014
Epoch Period (hh:mm:ss) 00:01:00
Download Time 14:39:16
Download Date 6/30/2014
Current Memory Address: 0
Current Battery Voltage: 4.2     Mode = 61
--------------------------------------------------
Date, Time, Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying,Vector Magnitude
6/30/2014,11:15:00,258,629,542,11,24,0,50,10,0,869.46
6/30/2014,11:16:00,232,325,552,2,29,0,45,15,0,681.29
6/30/2014,11:17:00,275,106,532,2,0,0,29,31,0,608.18
6/30/2014,11:18:00,862,268,867,4,26,0,60,0,0,1251.62
6/30/2014,11:19:00,6,53,176,0,0,0,59,1,0,183.9
6/30/2014,11:20:00,305,558,813,6,23,0,44,16,0,1032.16
6/30/2014,11:21:00,499,472,631,2,0,0,60,0,0,932.71
6/30/2014,11:22:00,1,109,171,0,50,0,60,0,0,202.79
6/30/2014,11:23:00,282,314,433,12,37,0,58,2,0,604.66
6/30/2014,11:24:00,1366,1149,1373,51,0,0,60,0,0,2251.95
6/30/2014,11:25:00,1798,1111,2035,63,0,0,60,0,0,2934
6/30/2014,11:26:00,3207,1426,909,71,0,0,60,0,0,3625.55
6/30/2014,11:27:00,7168,3080,2278,143,0,0,60,0,0,8127.48
6/30/2014,11:28:00,7057,3074,2233,142,0,0,60,0,0,8014.8
6/30/2014,11:29:00,7168,3086,2473,144,0,0,60,0,0,8186.53
6/30/2014,11:30:00,7181,3020,2899,143,0,0,60,0,0,8312.12
6/30/2014,11:31:00,7313,2749,3314,147,0,0,60,0,0,8486.43
6/30/2014,11:32:00,7052,2817,3078,148,0,0,60,0,0,8193.92
6/30/2014,11:33:00,7079,2888,3113,148,0,0,60,0,0,8254.91
6/30/2014,11:34:00,7350,2900,2849,147,0,0,60,0,0,8399.36
6/30/2014,11:35:00,7182,2945,2883,148,0,0,60,0,0,8280.45
6/30/2014,11:36:00,4249,1844,2043,86,0,0,60,0,0,5062.43
6/30/2014,11:37:00,406,317,391,5,0,0,58,2,0,646.69
6/30/2014,11:38:00,42,51,291,2,50,0,2,58,0,298.41
6/30/2014,11:39:00,136,342,497,10,44,0,0,60,0,618.44
6/30/2014,11:40:00,120,325,568,6,48,0,0,60,0,665.32
6/30/2014,11:41:00,119,308,529,9,51,0,0,60,0,623.59
6/30/2014,11:42:00,126,382,299,6,50,0,0,60,0,501.2
6/30/2014,11:43:00,106,418,50,1,54,0,0,60,0,434.12
6/30/2014,11:44:00,96,244,67,0,52,0,0,60,0,270.63
6/30/2014,11:45:00,63,170,49,1,54,0,0,60,0,187.8
6/30/2014,11:46:00,53,214,9,0,54,0,0,60,0,220.65
6/30/2014,11:47:00,56,341,20,1,55,0,0,60,0,346.15
6/30/2014,11:48:00,57,246,10,0,54,0,0,60,0,252.72
6/30/2014,11:49:00,63,66,173,1,0,0,57,3,0,195.59
6/30/2014,11:50:00,188,270,503,9,0,0,60,0,0,601.04
6/30/2014,11:51:00,0,112,503,0,0,0,60,0,0,515.32
6/30/2014,11:52:00,0,16,311,0,0,0,60,0,0,311.41
6/30/2014,11:53:00,4,153,678,1,0,0,60,0,0,695.06
6/30/2014,11:54:00,9,149,553,1,0,0,60,0,0,572.79
6/30/2014,11:55:00,61,148,841,4,0,0,60,0,0,856.1
6/30/2014,11:56:00,155,349,1332,19,0,0,60,0,0,1385.66
6/30/2014,11:57:00,175,512,1441,22,0,0,60,0,0,1539.24
